;network;architecture;learning_rate;dropout;batch_size;accuracy
0;cnn;l1_k3_d128_relu;0.01;0.2;10;93.93939393939394
1;cnn;l1_k5_d128_relu;0.01;0.2;10;81.81818181818183
2;cnn;l1_k7_d128_relu;0.01;0.2;10;84.84848484848484
3;cnn;l2_k3_k3_d128_relu;0.01;0.2;10;51.515151515151516
4;cnn;l2_k3_k5_d128_relu;0.01;0.2;10;27.27272727272727
5;cnn;l2_k3_k7_d128_relu;0.01;0.2;10;42.42424242424242
6;cnn;l2_k5_k3_d128_relu;0.01;0.2;10;36.36363636363637
7;cnn;l2_k5_k5_d128_relu;0.01;0.2;10;48.484848484848484
8;cnn;l2_k5_k7_d128_relu;0.01;0.2;10;57.57575757575758
9;cnn;l2_k7_k3_d128_relu;0.01;0.2;10;42.42424242424242
10;cnn;l2_k7_k5_d128_relu;0.01;0.2;10;51.515151515151516
11;cnn;l2_k7_k7_d128_relu;0.01;0.2;10;51.515151515151516
12;cnn;l1_k3_d128_relu;0.01;0.2;20;84.84848484848484
13;cnn;l1_k5_d128_relu;0.01;0.2;20;87.87878787878788
14;cnn;l1_k7_d128_relu;0.01;0.2;20;90.9090909090909
15;cnn;l2_k3_k3_d128_relu;0.01;0.2;20;42.42424242424242
16;cnn;l2_k3_k5_d128_relu;0.01;0.2;20;45.45454545454545
17;cnn;l2_k3_k7_d128_relu;0.01;0.2;20;48.484848484848484
18;cnn;l2_k5_k3_d128_relu;0.01;0.2;20;39.39393939393939
19;cnn;l2_k5_k5_d128_relu;0.01;0.2;20;39.39393939393939
20;cnn;l2_k5_k7_d128_relu;0.01;0.2;20;36.36363636363637
21;cnn;l2_k7_k3_d128_relu;0.01;0.2;20;45.45454545454545
22;cnn;l2_k7_k5_d128_relu;0.01;0.2;20;39.39393939393939
23;cnn;l2_k7_k7_d128_relu;0.01;0.2;20;33.33333333333333
24;cnn;l1_k3_d128_relu;0.01;0.2;40;93.93939393939394
25;cnn;l1_k5_d128_relu;0.01;0.2;40;81.81818181818183
26;cnn;l1_k7_d128_relu;0.01;0.2;40;87.87878787878788
27;cnn;l2_k3_k3_d128_relu;0.01;0.2;40;39.39393939393939
28;cnn;l2_k3_k5_d128_relu;0.01;0.2;40;60.60606060606061
29;cnn;l2_k3_k7_d128_relu;0.01;0.2;40;57.57575757575758
30;cnn;l2_k5_k3_d128_relu;0.01;0.2;40;39.39393939393939
31;cnn;l2_k5_k5_d128_relu;0.01;0.2;40;39.39393939393939
