;network;architecture;learning_rate;dropout;batch_size;accuracy;precision;recall;f1-score
0;dnn;l1_128_relu;0.01;0.2;10;3.03030303030303;0.0009182736455460001;0.030303030303030002;0.0017825311942950002
1;dnn;l1_256_relu;0.01;0.2;10;6.06060606060606;0.0036730945821850003;0.060606060606060004;0.006926406926406001
2;dnn;l1_512_relu;0.01;0.2;10;6.06060606060606;0.0036730945821850003;0.060606060606060004;0.006926406926406001
3;dnn;l2_128_128_relu;0.01;0.2;10;6.06060606060606;0.0036730945821850003;0.060606060606060004;0.006926406926406001
4;dnn;l2_128_256_relu;0.01;0.2;10;18.181818181818183;0.033057851239669;0.18181818181818102;0.05594405594405501
5;dnn;l2_128_512_relu;0.01;0.2;10;6.06060606060606;0.0036730945821850003;0.060606060606060004;0.006926406926406001
6;dnn;l2_256_128_relu;0.01;0.2;10;6.06060606060606;0.0036730945821850003;0.060606060606060004;0.006926406926406001
7;dnn;l2_256_256_relu;0.01;0.2;10;3.03030303030303;0.0009182736455460001;0.030303030303030002;0.0017825311942950002
8;dnn;l2_256_512_relu;0.01;0.2;10;18.181818181818183;0.033057851239669;0.18181818181818102;0.05594405594405501
9;dnn;l2_512_128_relu;0.01;0.2;10;15.151515151515152;0.022956841138659003;0.15151515151515102;0.039872408293460004
10;dnn;l2_512_256_relu;0.01;0.2;10;18.181818181818183;0.033057851239669;0.18181818181818102;0.05594405594405501
11;dnn;l2_512_512_relu;0.01;0.2;10;15.151515151515152;0.022956841138659003;0.15151515151515102;0.039872408293460004
12;dnn;l1_128_relu;0.01;0.2;20;21.21212121212121;0.056876456876456004;0.21212121212121202;0.088245088245088
13;dnn;l1_256_relu;0.01;0.2;20;6.06060606060606;0.0036730945821850003;0.060606060606060004;0.006926406926406001
14;dnn;l1_512_relu;0.01;0.2;20;3.03030303030303;0.0009182736455460001;0.030303030303030002;0.0017825311942950002
15;dnn;l2_128_128_relu;0.01;0.2;20;6.06060606060606;0.0036730945821850003;0.060606060606060004;0.006926406926406001
16;dnn;l2_128_256_relu;0.01;0.2;20;18.181818181818183;0.033057851239669;0.18181818181818102;0.05594405594405501
17;dnn;l2_128_512_relu;0.01;0.2;20;18.181818181818183;0.033057851239669;0.18181818181818102;0.05594405594405501
18;dnn;l2_256_128_relu;0.01;0.2;20;18.181818181818183;0.033057851239669;0.18181818181818102;0.05594405594405501
19;dnn;l2_256_256_relu;0.01;0.2;20;6.06060606060606;0.0036730945821850003;0.060606060606060004;0.006926406926406001
20;dnn;l2_256_512_relu;0.01;0.2;20;3.03030303030303;0.0009182736455460001;0.030303030303030002;0.0017825311942950002
21;dnn;l2_512_128_relu;0.01;0.2;20;18.181818181818183;0.033057851239669;0.18181818181818102;0.05594405594405501
22;dnn;l2_512_256_relu;0.01;0.2;20;15.151515151515152;0.022956841138659003;0.15151515151515102;0.039872408293460004
23;dnn;l2_512_512_relu;0.01;0.2;20;15.151515151515152;0.022956841138659003;0.15151515151515102;0.039872408293460004
24;dnn;l1_128_relu;0.01;0.2;40;21.21212121212121;0.059580770107085006;0.21212121212121202;0.09131313131313101
25;dnn;l1_256_relu;0.01;0.2;40;6.06060606060606;0.0036730945821850003;0.060606060606060004;0.006926406926406001
26;dnn;l1_512_relu;0.01;0.2;40;6.06060606060606;0.06161616161616101;0.060606060606060004;0.042359074617139
