;network;architecture;learning_rate;dropout;batch_size;accuracy;precision;recall;f1-score
0;lstm;l1_lstm16_relu;0.01;0.2;10;39.39393939393939;0.42099567099567103;0.39393939393939303;0.36346801346801305
1;lstm;l1_lstm32_relu;0.01;0.2;10;36.36363636363637;0.453823953823953;0.36363636363636304;0.37359307359307303
2;lstm;l1_lstm48_relu;0.01;0.2;10;36.36363636363637;0.49873737373737304;0.36363636363636304;0.363155363155363
3;lstm;l1_lstm16_relu;0.01;0.2;20;48.484848484848484;0.510284664830119;0.48484848484848403;0.428296332307027
4;lstm;l1_lstm32_relu;0.01;0.2;20;60.60606060606061;0.5678604224058771;0.6060606060606061;0.5625217028960341
5;lstm;l1_lstm48_relu;0.01;0.2;20;51.515151515151516;0.581818181818181;0.515151515151515;0.501443001443001
6;lstm;l1_lstm16_relu;0.01;0.2;40;39.39393939393939;0.43470418470418404;0.39393939393939303;0.384193584193584
7;lstm;l1_lstm32_relu;0.01;0.2;40;69.6969696969697;0.696608946608946;0.696969696969697;0.672505272505272
8;lstm;l1_lstm48_relu;0.01;0.2;40;66.66666666666666;0.7005772005772001;0.6666666666666661;0.6481639572548661
9;lstm;l1_lstm16_relu;0.01;0.5;10;30.303030303030305;0.39823232323232305;0.30303030303030304;0.301702338065974
10;lstm;l1_lstm32_relu;0.01;0.5;10;21.21212121212121;0.155483405483405;0.21212121212121202;0.15753135753135702
11;lstm;l1_lstm48_relu;0.01;0.5;10;45.45454545454545;0.45108780108780105;0.45454545454545403;0.40203792309055403
12;lstm;l1_lstm16_relu;0.01;0.5;20;42.42424242424242;0.43755739210284605;0.42424242424242403;0.365283082930141
13;lstm;l1_lstm32_relu;0.01;0.5;20;39.39393939393939;0.38041125541125503;0.39393939393939303;0.352765752765752
14;lstm;l1_lstm48_relu;0.01;0.5;20;54.54545454545454;0.6830808080808081;0.5454545454545451;0.53046398046398
15;lstm;l1_lstm16_relu;0.01;0.5;40;45.45454545454545;0.45151515151515104;0.45454545454545403;0.42020202020202
16;lstm;l1_lstm32_relu;0.01;0.5;40;39.39393939393939;0.33900039354584804;0.39393939393939303;0.320649938296997
17;lstm;l1_lstm48_relu;0.01;0.5;40;51.515151515151516;0.5111832611832611;0.515151515151515;0.47405927405927406
18;lstm;l1_lstm16_relu;0.001;0.2;10;60.60606060606061;0.6669552669552661;0.6060606060606061;0.588991816264543
19;lstm;l1_lstm32_relu;0.001;0.2;10;75.75757575757575;0.8383838383838381;0.757575757575757;0.768518518518518
20;lstm;l1_lstm48_relu;0.001;0.2;10;78.78787878787878;0.8831168831168831;0.7878787878787871;0.8015022015022011
21;lstm;l1_lstm16_relu;0.001;0.2;20;60.60606060606061;0.662626262626262;0.6060606060606061;0.5979797979797981
22;lstm;l1_lstm32_relu;0.001;0.2;20;72.72727272727273;0.793434343434343;0.7272727272727271;0.7284664830119371
23;lstm;l1_lstm48_relu;0.001;0.2;20;81.81818181818183;0.8888888888888881;0.818181818181818;0.8292929292929291
24;lstm;l1_lstm16_relu;0.001;0.2;40;60.60606060606061;0.682900432900432;0.6060606060606061;0.608067858067858
25;lstm;l1_lstm32_relu;0.001;0.2;40;78.78787878787878;0.8838383838383831;0.7878787878787871;0.7973982246709521
26;lstm;l1_lstm48_relu;0.001;0.2;40;84.84848484848484;0.8989898989898981;0.8484848484848481;0.8555555555555551
27;lstm;l1_lstm16_relu;0.001;0.5;10;54.54545454545454;0.538720538720538;0.5454545454545451;0.518133718133718
28;lstm;l1_lstm32_relu;0.001;0.5;10;66.66666666666666;0.7272727272727271;0.6666666666666661;0.6637413091958541
29;lstm;l1_lstm48_relu;0.001;0.5;10;78.78787878787878;0.86002886002886;0.7878787878787871;0.7738927738927731
30;lstm;l1_lstm16_relu;0.001;0.5;20;66.66666666666666;0.7427128427128421;0.6666666666666661;0.6604247604247601
31;lstm;l1_lstm32_relu;0.001;0.5;20;63.63636363636363;0.672222222222222;0.636363636363636;0.62089072543618
32;lstm;l1_lstm48_relu;0.001;0.5;20;87.87878787878788;0.9191919191919191;0.8787878787878781;0.8858585858585851
33;lstm;l1_lstm16_relu;0.001;0.5;40;63.63636363636363;0.724747474747474;0.636363636363636;0.641558441558441
34;lstm;l1_lstm32_relu;0.001;0.5;40;72.72727272727273;0.819696969696969;0.7272727272727271;0.7524334251606971
35;lstm;l1_lstm48_relu;0.001;0.5;40;75.75757575757575;0.784848484848484;0.757575757575757;0.7550045913682271
